Year,Month,tMax,tMin,Air Frost,Rainfall,Sun hours
1971,6,,,,71.4,
1971,7,,,,50.1,
1971,8,,,,83.0,
1971,9,,,,75.3,
1971,10,,,,270.7,
1971,11,,,,132.8,
1971,12,,,,179.8,
1972,1,6.5,2.7,5.0,176.8,
1972,2,7.1,2.4,2.0,71.8,
1972,3,9.1,3.3,3.0,74.9,
1972,4,11.0,4.8,0.0,187.9,
1972,5,13.5,7.0,0.0,114.5,
1972,6,14.0,7.4,0.0,132.2,
1972,7,17.8,9.9,0.0,74.6,
1972,8,16.1,10.1,0.0,74.6,
1972,9,15.1,7.3,0.0,30.2,
1972,10,13.7,7.9,1.0,96.7,
1972,11,8.8,3.2,7.0,174.4,
1972,12,9.0,4.2,2.0,204.6,
1973,1,7.3,3.8,1.0,128.1,
1973,2,7.0,2.2,8.0,150.8,
1973,3,9.4,3.3,5.0,114.8,
1973,4,10.2,3.8,1.0,41.6,
1973,5,13.5,6.8,0.0,87.0,
1973,6,15.6,8.8,0.0,117.0,
1973,7,17.6,11.2,0.0,80.7,
1973,8,17.9,11.2,0.0,131.4,
1973,9,15.6,9.3,0.0,116.6,
1973,10,12.2,6.4,2.0,65.6,
1973,11,8.6,3.6,5.0,202.6,
1973,12,7.7,3.0,3.0,211.0,
1974,1,8.7,3.8,0.0,321.1,
1974,2,8.0,3.7,0.0,121.0,
1974,3,8.9,2.8,4.0,61.9,
1974,4,14.0,3.9,0.0,16.2,
1974,5,,7.3,1.0,71.8,
1974,6,16.8,8.3,0.0,82.4,
1974,7,15.9,10.2,0.0,120.4,
1974,8,16.9,10.7,0.0,138.5,
1974,9,14.0,8.0,2.0,155.4,
1974,10,10.9,5.4,0.0,82.1,
1974,11,8.9,3.7,2.0,210.2,
1974,12,9.1,4.6,0.0,306.5,
1975,1,8.5,3.0,3.0,295.1,
1975,2,7.9,2.9,3.0,45.6,
1975,3,8.0,1.8,7.0,69.0,
1975,4,10.4,4.9,2.0,97.2,
1975,5,14.4,4.1,1.0,37.9,
1975,6,17.1,8.1,0.0,70.2,
1975,7,18.2,11.2,0.0,116.3,
1975,8,19.4,11.7,0.0,81.9,
1975,9,14.5,8.6,0.0,204.5,
1975,10,12.9,7.7,0.0,112.8,
1975,11,9.3,4.3,1.0,185.8,
1975,12,9.2,4.4,3.0,129.3,
1976,1,8.0,3.0,7.0,201.0,
1976,2,7.7,2.6,6.0,129.8,
1976,3,7.6,2.9,2.0,125.8,
1976,4,11.4,4.4,0.0,84.4,
1976,5,13.5,7.0,0.0,126.1,
1976,6,16.9,10.0,0.0,120.1,
1976,7,19.9,12.4,0.0,81.7,
1976,8,20.5,10.1,0.0,14.8,
1976,9,15.8,10.2,0.0,62.0,
1976,10,12.5,7.5,0.0,155.5,
1976,11,8.9,4.1,1.0,203.2,
1976,12,5.3,-0.6,18.0,76.8,
1977,1,5.7,0.7,14.0,90.4,
1977,2,6.1,1.5,6.0,106.5,
1977,3,9.2,3.5,4.0,170.6,
1977,4,9.1,3.4,4.0,102.4,
1977,5,14.5,5.7,0.0,37.0,
1977,6,15.8,7.1,0.0,36.6,
1977,7,19.2,10.6,0.0,76.4,
1977,8,18.0,10.1,0.0,89.2,
1977,9,14.4,8.3,0.0,204.4,
1977,10,14.1,9.3,0.0,220.2,
1977,11,8.1,2.8,8.0,231.8,
1977,12,8.4,3.9,3.0,124.1,
1978,1,5.9,0.6,13.0,131.4,
1978,2,5.3,-0.1,16.0,59.1,
1978,3,8.4,3.6,2.0,204.5,
1978,4,10.3,3.0,5.0,16.9,
1978,5,15.6,6.4,0.0,20.5,
1978,6,15.7,9.3,0.0,58.6,
1978,7,16.3,9.9,0.0,98.3,
1978,8,16.5,11.1,0.0,89.0,
1978,9,15.0,10.7,0.0,281.0,
1978,10,13.6,8.9,0.0,130.7,
