Year,Month,tMax,tMin,Air Frost,Rainfall,Sun hours
1911,1,,,,107.7,
1911,2,,,,233.6,
1911,3,,,,73.5,
1911,4,,,,172.4,
1911,5,,,,87.9,
1911,6,,,,87.3,
1911,7,,,,58.7,
1911,8,,,,82.0,
1911,9,,,,72.1,
1911,10,,,,136.3,
1911,11,,,,208.8,
1911,12,,,,228.9,
1912,1,,,,96.6,
1912,2,,,,108.9,
1912,3,,,,188.1,
1912,4,,,,26.0,
1912,5,,,,46.8,
1912,6,,,,157.9,
1912,7,,,,91.9,
1912,8,,,,141.1,
1912,9,,,,62.3,
1912,10,,,,146.3,
1912,11,,,,139.2,
1912,12,,,,293.8,
1913,1,,,,113.9,
1913,2,,,,121.0,
1913,3,,,,193.2,
1913,4,,,,165.6,
1913,5,,,,105.2,
1913,6,,,,75.4,
1913,7,,,,25.3,
1913,8,,,,59.9,
1913,9,,,,63.6,
1913,10,,,,113.5,
1913,11,,,,171.1,
1913,12,,,,141.1,
1914,1,4.4,0.1,,129.4,
1914,2,6.8,1.3,,216.0,
1914,3,6.4,-0.1,,157.4,
1914,4,12.4,1.0,,78.3,
1914,5,12.2,3.6,,72.9,
1914,6,16.7,6.6,,38.3,
1914,7,17.7,8.8,,81.7,
1914,8,17.4,8.4,,90.1,
1914,9,14.9,5.9,,88.3,
1914,10,11.3,4.2,,45.1,
1914,11,7.6,1.9,,163.9,
1914,12,4.7,-0.1,,197.8,
1915,1,4.1,-0.8,,87.8,
1915,2,4.4,-1.0,,218.4,
1915,3,6.7,-1.1,,31.5,
1915,4,9.9,0.8,,89.3,
1915,5,13.3,1.8,,34.3,
1915,6,16.7,5.8,,31.5,
1915,7,16.1,7.1,,120.8,
1915,8,16.8,8.7,,69.3,
1915,9,15.0,5.5,,47.5,
1915,10,10.8,2.9,,59.9,
1915,11,4.1,-3.8,,96.9,
1915,12,4.7,-0.5,,201.0,
1916,1,7.6,2.5,,276.7,
1916,2,3.9,-1.3,,171.1,
1916,3,3.2,-1.8,,65.3,
1916,4,9.6,1.1,,139.5,
1916,5,12.9,2.9,,142.2,
1916,6,14.2,5.1,,85.5,
1916,7,17.4,8.4,,156.6,
1916,8,18.4,8.8,,119.4,
1916,9,14.4,6.3,,71.0,
1916,10,10.6,3.4,,265.5,
1916,11,7.9,2.9,,164.1,
1916,12,3.6,-1.4,,139.5,
1917,1,2.0,-1.7,,116.3,
1917,2,2.1,-3.8,,29.4,
1917,3,4.6,-2.9,,70.0,
1917,4,6.8,-1.7,,122.7,
1917,5,14.2,4.1,,102.4,
1917,6,16.2,5.5,,81.2,
1917,7,18.1,7.8,,67.3,
1917,8,16.8,9.9,,221.6,
1917,9,14.6,7.3,,143.8,
1917,10,8.3,1.2,,193.7,
1917,11,8.8,3.6,,163.8,
1917,12,3.8,-2.5,,94.1,
1918,1,3.8,-2.2,,214.2,
1918,2,6.7,2.4,,217.8,
1918,3,6.4,-0.2,,50.5,
1918,4,9.4,0.4,,19.8,
1918,5,14.9,4.6,,80.6,
1918,6,15.5,4.7,,48.9,
1918,7,17.0,7.3,,103.6,
1918,8,16.7,8.9,,107.3,
1918,9,12.0,4.1,,241.3,
1918,10,10.0,3.9,,253.3,
1918,11,6.6,-1.3,,116.0,
1918,12,6.3,1.2,,170.9,
1919,1,3.5,-0.9,,135.2,
1919,2,2.9,-2.9,,18.9,
1919,3,3.9,-3.8,,103.9,
1919,4,9.4,0.6,,75.4,
1919,5,16.4,5.5,,49.7,
1919,6,15.5,6.2,,62.8,
1919,7,17.1,6.1,,34.1,
1919,8,17.0,7.5,,111.3,
1919,9,13.9,5.6,,154.3,
1919,10,9.8,2.8,,72.6,
1919,11,3.6,-2.0,,137.6,
1919,12,5.1,0.1,,259.4,
1920,1,4.9,-0.7,,213.3,
1920,2,6.7,0.1,,171.4,
1920,3,7.1,1.0,,188.3,
1920,4,8.9,1.6,,107.7,
1920,5,12.8,4.2,,200.2,
1920,6,16.3,6.4,,70.9,
1920,7,14.8,8.0,,152.8,
1920,8,15.6,7.3,,151.6,
1920,9,14.1,5.7,,76.8,
1920,10,12.9,4.1,,53.8,
1920,11,8.8,3.5,,106.5,
1920,12,4.9,-0.3,,157.5,
1921,1,7.3,1.5,,312.7,
1921,2,6.3,-0.4,,20.6,
1921,3,7.4,1.2,,225.1,
1921,4,11.1,0.6,,48.5,
1921,5,13.2,2.6,,86.7,
1921,6,17.1,6.3,,23.0,
1921,7,19.3,9.0,,104.4,
1921,8,16.1,7.7,,174.5,
1921,9,15.2,5.8,,69.7,
1921,10,13.5,6.4,,118.5,
1921,11,6.1,-0.2,,80.7,
1921,12,7.7,1.4,,249.1,
1922,1,3.7,-1.6,,124.6,
1922,2,4.5,-1.1,,143.7,
1922,3,6.9,-0.7,,89.2,
1922,4,8.6,-2.6,,77.6,
1922,5,12.0,3.6,,107.9,
1922,6,15.2,5.8,,65.5,
1922,7,14.6,6.2,,173.9,
1922,8,14.6,7.2,,100.5,
1922,9,13.4,5.1,,77.0,
1922,10,10.2,2.5,,79.1,
1922,11,7.8,1.2,,92.3,
1922,12,6.0,0.8,,149.0,
1923,1,7.1,1.8,,141.0,
1923,2,4.8,0.9,,157.5,
1923,3,8.7,1.3,,60.4,
1923,4,8.4,0.7,,110.3,
1923,5,10.6,2.2,,92.5,
1923,6,14.8,5.7,,53.5,
1923,7,18.0,10.7,,137.0,
1923,8,15.9,7.2,,261.9,
1923,9,13.1,5.6,,181.9,
1923,10,10.2,4.2,,243.3,
1923,11,4.6,-1.5,,157.1,
1923,12,4.2,-1.3,,148.8,
1924,1,5.3,-0.2,,174.9,
1924,2,4.9,-0.1,,36.0,
1924,3,6.6,-4.1,,26.0,
1924,4,9.2,-0.8,,98.2,
1924,5,11.8,4.7,,143.6,
1924,6,14.9,6.8,,78.8,
1924,7,15.9,8.9,,141.6,
1924,8,15.1,8.1,,167.1,
1924,9,13.7,6.4,,181.2,
1924,10,11.1,4.3,,116.2,
1924,11,8.4,1.8,,130.2,
1924,12,7.8,3.3,,287.0,
1925,1,6.1,1.4,,175.7,
1925,2,4.5,-0.2,,167.6,
1925,3,6.9,-0.2,,58.5,
1925,4,9.3,0.4,,191.1,
1925,5,12.6,5.4,,236.3,
1925,6,17.9,6.7,,30.2,
1925,7,19.2,9.0,,63.7,
1925,8,17.2,8.2,,166.0,
1925,9,12.9,4.7,,96.0,
1925,10,11.4,4.8,,164.5,
1925,11,4.9,-2.3,,51.9,
1925,12,3.4,-2.7,,146.3,
1926,1,5.3,0.7,,239.5,
1926,2,6.4,1.6,,201.1,
1926,3,7.7,1.1,,95.6,
1926,4,11.1,2.2,,103.2,
1926,5,12.0,2.6,,94.7,
1926,6,15.8,6.6,,98.5,
1926,7,18.6,9.8,,142.8,
1926,8,17.3,9.1,,176.5,
1926,9,14.8,6.8,,147.1,
1926,10,8.9,1.6,,153.8,
1926,11,6.4,0.6,,209.7,
1926,12,5.9,0.7,,51.3,
1927,1,4.9,0.1,,207.4,
1927,2,5.7,-1.3,,87.7,
1927,3,8.1,0.9,,109.8,
1927,4,8.9,0.4,,107.4,
1927,5,12.7,2.8,,103.0,
1927,6,13.6,4.7,,154.1,
1927,7,18.0,10.1,,134.5,
1927,8,17.1,8.9,,193.8,
1927,9,13.6,5.4,,231.9,
1927,10,11.8,4.0,,198.5,
1927,11,6.9,0.8,,174.8,
1927,12,1.8,-1.6,,44.6,
1928,1,5.8,0.3,,394.3,
1928,2,6.8,0.5,,216.2,
1928,3,6.1,0.5,,168.5,
1928,4,10.1,1.8,,45.3,
1928,5,13.6,3.7,,39.2,
1928,6,13.7,4.7,,199.9,
1928,7,15.8,8.6,,133.1,
1928,8,16.5,8.4,,240.8,
1928,9,14.0,4.9,,111.0,
1928,10,10.8,3.6,,300.4,
1928,11,8.2,2.9,,224.0,
1928,12,4.7,-2.2,,149.9,
1929,1,2.6,-2.5,,56.4,48.0
1929,2,2.1,-3.9,,52.7,59.0
1929,3,10.7,-2.2,,33.4,84.0
1929,4,8.2,-0.7,,40.6,31.0
1929,5,13.9,3.9,,107.5,91.0
1929,6,15.0,6.1,,112.7,84.0
1929,7,17.2,8.3,,202.1,58.0
1929,8,15.8,8.3,,196.6,15.0
1929,9,15.9,6.5,,30.0,0.0
1929,10,10.3,3.0,,174.6,96.0
1929,11,7.2,1.6,,277.6,36.0
1929,12,5.6,0.8,,330.9,21.0
1930,1,5.3,0.2,,273.3,22.0
1930,2,3.6,-3.4,,18.6,92.0
1930,3,5.7,-0.8,,101.7,80.0
1930,4,9.9,2.8,,58.5,18.0
1930,5,13.9,3.6,,79.1,62.0
1930,6,17.6,6.8,,106.1,4.0
1930,7,16.4,9.4,,142.6,13.0
1930,8,16.8,9.4,,230.6,3.0
1930,9,14.6,7.1,,107.5,80.0
1930,10,10.7,4.8,,297.1,71.0
1930,11,6.6,-0.1,,175.8,59.0
1930,12,4.9,0.4,,136.5,18.0
1931,1,3.8,-1.9,,129.7,56.0
1931,2,4.2,-0.6,,150.5,43.0
1931,3,5.7,-2.3,,28.4,22.0
1931,4,9.7,0.9,,80.0,20.0
1931,5,13.3,4.1,,116.6,52.0
1931,6,14.5,6.6,,260.2,92.0
1931,7,16.3,9.8,,145.8,74.0
1931,8,16.5,7.3,,45.8,50.0
1931,9,13.8,3.7,,37.2,74.0
1931,10,10.7,2.3,,135.5,18.0
1931,11,8.1,3.4,,286.1,33.0
1931,12,6.5,1.9,,146.3,26.0
1932,1,7.3,1.7,,297.2,43.0
1932,2,6.4,-1.7,,4.6,6.0
1932,3,6.7,-1.1,,106.3,79.0
1932,4,8.7,-0.4,,134.6,50.0
1932,5,12.3,3.8,,86.2,29.0
1932,6,17.6,6.1,,48.0,88.0
1932,7,16.8,10.0,,197.7,7.0
1932,8,17.4,9.3,,56.5,88.0
1932,9,13.7,5.8,,157.2,0.0
1932,10,9.5,1.9,,230.7,88.0
1932,11,7.3,1.3,,148.3,40.0
1932,12,6.4,2.3,,333.6,35.0
1933,1,3.7,-2.7,,227.3,42.0
1933,2,5.1,-0.7,,146.2,76.0
1933,3,9.6,0.3,,93.1,26.0
