Station name,Lat,Lon
Aberporth,52.139,-4.57
Armagh,54.352,-6.649
Ballypatrick Forest,55.181,-6.153
Bradford,53.813,-1.772
Braemar No 2,57.006,-3.396
Camborne,50.218,-5.327
Cambridge Niab,52.245,0.102
Cardiff Bute Park,51.488,-3.187
Chivenor,51.089,-4.147
Cwmystwyth,52.358,-3.802
Dunstaffnage,56.451,-5.439
Durham,54.768,-1.585
Eastbourne,50.762,0.285
Eskdalemuir,55.311,-3.206
Heathrow,51.479,-0.449
Hurn,50.779,-1.835
Lerwick,60.139,-1.183
Leuchars,56.377,-2.861
Lowestoft Monckton Avenue,52.483,1.727
Manston,51.346,1.337
Nairn Druim,57.593,-3.821
Newton Rigg,54.67,-2.786
Oxford,51.761,-1.262
Paisley,55.846,-4.43
Ringway,53.356,-2.279
Ross-on-wye,51.911,-2.584
Shawbury,52.794,-2.663
Sheffield,53.381,-1.49
Southampton Mayflower Park,50.898,-1.408
Stornoway Airport,58.214,-6.318
Sutton Bonington,52.833,-1.25
Tiree,56.5,-6.88
Valley,53.252,-4.535
Waddington,53.175,-0.522
Whitby,54.481,-0.624
Wick Airport,58.454,-3.088
Yeovilton,51.006,-2.641
